ICAO,Name,Category,Color,Distance,METAR
KOKC,Oklahoma City,LIFR,purple,6.0840988636942095,KOKC 091152Z 17012KT 1SM R35R/P6000FT BR OVC006 21/21 A2993 RMK AO2 SFC VIS 2 1/2 SLP118 T02110211 10228 20206 53008
KTIK,Oklahoma City,LIFR,purple,7.0995229090009495,KTIK 091125Z 15006KT 6SM BR OVC006 22/21 A2988 RMK AO2A CIG 003 RWY13 CIG 003 RWY31 CIG 003 RWY36 SLP111 $
KPWA,Oklahoma City,LIFR,purple,7.536833210771563,KPWA 091203Z 16011KT 3SM BR OVC006 22/21 A2993 RMK AO2 CIG 003V009 T02220206
KCUH,Cushing,LIFR,purple,46.38631928453648,KCUH 091155Z 16003KT 2SM BR OVC003 21/21 A2993 RMK AO2 T02100205 10221 20205
KSWO,Stillwater,LIFR,purple,46.6257330346919,KSWO 091153Z 14004KT 3SM BR OVC004 23/22 A2992 RMK AO2 SLP118 T02280222 10239 20222 53004
KEND,Enid,LIFR,purple,55.831500896983535,KEND 091155Z 11006KT 3/8SM FG 20/20 A2989 RMK AO2A VIS 3/8V7/8 SLP110 T02000195 10222 20194 53004 RVRNO
KADH,Ada,LIFR,purple,57.51330985008465,KADH 091155Z 15007KT 2 1/2SM BR OVC003 20/20 A2996 RMK AO2
KDUC,Duncan,IFR,red,63.696224242358355,KDUC 091155Z 12005KT 2 1/2SM BR 19 A2992 RMK AO2 T0195//// 10219 20195
KFSI,Fort Sill,LIFR,purple,65.62070314362744,KFSI 091155Z 14006KT 6SM BR OVC004 20/20 A2988 RMK AO2 SLP109 T02040202 10220 20198 50015 FZRANO $
KLAW,Lawton,LIFR,purple,69.84649475226814,KLAW 091201Z 10003KT 3SM BR OVC006 20/19 A2990 RMK AO2 T02000189
KADM,Ardmore,LIFR,purple,74.07914375778641,KADM 091150Z 00000KT 5SM FG BKN017 20/19 A2992
KOKM,Okmulgee,LIFR,purple,77.50397997972438,KOKM 091155Z 12007KT 5SM BR OVC010 21/21 A2995 RMK AO2 LTG DSNT NE T02070207 10220 20195
KPNC,Ponca City,VFR,green,78.55902968777357,KPNC 091153Z 12004KT 5SM BR 21/19 A2992 RMK AO2 SLP120 T02060194 10250 20194 51008
KOWP,Sand Springs,LIFR,purple,78.85844368012361,KOWP 091140Z 00000KT 3SM OVC005 23/22 A2997 RMK AO2 T02260217
KHBR,Hobart,IFR,red,80.52562675012226,KHBR 091153Z 14011KT 1SM BR A2991 RMK AO2 SLPNO 53010 $
KRVS,Tulsa,LIFR,purple,82.15812824860608,KRVS 091153Z 16005KT 7SM OVC008 22/20 A2994 RMK AO2 SLP139 T02220200 10222 20200 51008
KCSM,Clinton,LIFR,purple,82.77267291512828,KCSM 091153Z 14009KT 1/2SM FG OVC003 19/19 A2992 RMK AO2 SLP107 T01940194 10228 20189 53006
KTUL,Tulsa,LIFR,purple,90.59254942968158,KTUL 091153Z 14004KT 7SM OVC009 22/21 A2995 RMK AO2 SLP133 T02220211 10244 20206 53006
KMLC,Mcalester,LIFR,purple,92.01567968218482,KMLC 091153Z 00000KT 3SM BR FEW070 19/19 A2996 RMK AO2 SLP136 T01940194 10228 20189 53010
KLTS,Altus,LIFR,purple,98.52789358753544,KLTS 091155Z 13009KT 3SM BR SCT004 20/19 A2988 RMK AO2A RAB01E11 SLP104 P0000 60000 T01990192 10229 20186 52015
KSPS,Wichita Falls,LIFR,purple,100.99530189026602,KSPS 091200Z 13006KT 2SM BR FEW002 19/19 A2988 RMK AO2 T01940189 $
KWLD,Winfield,VFR,green,104.72213752775292,KWLD 091154Z 10003KT 7SM 20/18 A2995 RMK AO2 SLP129 T02000183 10239 20194 53004 $
KMKO,Muskogee,MVFR,blue,105.6046207193279,KMKO 091153Z 17003KT 4SM BR 20/19 A2997 RMK AO2 SLP142 T02000194 10217 20194 51010
KEGT,Wellington,VFR,green,111.60709509993268,KEGT 091155Z 11007KT 10SM 18/17 A2994 RMK AO2 T01750166 10234 20171
KWWR,Woodward,VFR,green,113.58679324186963,KWWR 061810Z 25009G16KT 10SM 30/02 A2989 RMK AO2
